,label,sentence
92,anger,"the doctors from belogradchik town determined a wrong diagnosis to my son a month later , after some complex examinations at isul ( a medical institute in sofia ) , the diagnosis was categorically rejected"
93,fear,i was so sick that my relatives thought that i was bewitched i felt like dying
94,shame,i was double crossing my fiancee and one day she caught me red handed she forgave me later i was very ashamed of what i had done
95,disgust,"as a child , when i saw an unesthetic sight"
96,disgust,i am disgusted with the behavior of a car driver whose car would run over me and my friends during our autumn brigade
97,disgust,when i found my girl in bed with another man
98,disgust,some friends and i were having lunch someone said something funny and one of the guys started laughing and spat his food in a girl ' s face
99,shame,"i was talking badly about a person to some friends , and discovered that his daughter was listening"
100,shame,i felt shame when i discontinued my education for eight months
101,joy,when my one year old son gives me a spontaneous kiss
102,sadness,"my father resigned from work , and soon after this his elder brother died the next day my granny died ( my mother ' s mother ) my dad remains the only living member of his family"
103,shame,i failed my nutrition paper which was the paper ending the course
104,disgust,"during a recent meeting , mr a showed his excitement and overindulged in the notes delivered though his curiosity could not be blamed , his way of accquiring knowledge was an extreme behaviour e g he always tried to know what i was reading and gained everything he could"
105,sadness,when i found out that i had failed to pass my exams during the term by one point the fact that exactly the same thing had happened last term did not help
106,disgust,"when i saw a woman who had been run over by a train , just off kafue the woman had been cut to bits , there was blood and splinters of bone every where"
107,sadness,"during my holiday i met again a friend who had tried to commit suicide she had just left hospital , her lips were trembling , she looked miserable"
108,shame,doing poorly on an exam that i thought i should do well
109,sadness,one night i was called and told that the father of a close friend died when i visited my friend at home and when attending the funeral i felt very sad
110,shame,forgot to do some shopping that i had promised to do
111,joy,i felt extreme joy the day i was baptized i was one with god
112,guilt,when i let a person assume a fault that i committed
113,guilt,not acting on my promise
114,joy,found out my wife ( girl friend ? ) pregnant
115,sadness,"when you are far away from relatives and friends i feel sad for my early years , for the freedom and the carefree years of childhood"
116,guilt,"i had made an appointment with a girl to go to the movies , but actually i had no mind when we arrived at the cinema , it was a full house i then went back and she went to the movie alone"
117,sadness,i had this feeling when my parents distroyed a relationship with a boy because they thought he was bad and irresponsible
118,shame,felt it after i spoke terribly ( got mad at ) the person who is the most important in my life
119,disgust,"waiting for a bus not coming for a long time , and the bus drivers were having a long lunch"
120,joy,when my boyfriend and i went out for a dinner and subsequently went to his family we had a very nice evening
121,sadness,when i found that my ability to do ordinary work was worse than my fellow mates
122,sadness,when i was ill and had to stay at the hospital for a period of time
123,shame,"when i realized that i belonged to a country which is amongst the poorest in the world and that inspite of having the resources we do not utilize them i was ashamed at myself and my country , shame at the lack of parity between the lifestyles of the citizens"
124,fear,"before i went to the urologist ' s i was afraid for several reasons because it was for the first time , because the medical check up might be painful , because of the uncertainty and because someone had informed me about it"
125,guilt,i had spent the weekend visiting relatives and friends and didn ' t study for anatomy class on monday
126,fear,"while watching tv ( a war movie ) , i felt a strong fear of death , threat and fear of loosing people close to me"
127,guilt,i feel this feeling most often before me not before the others my outside is iron but actually i ' m wasting away
128,guilt,i didn ' t visit a very close friend at the hospital and some days later he died
129,joy,i received a letter from a distant friend
130,joy,when i received the acceptance form for the second year at university
131,shame,i told my primary teacher i hadn ' t done my homework as my mother was in a car accident my teacher rang that night to see how my mother was she was fine i e no accident !
132,anger,made a statement that other people did not believe
133,anger,when my boss enrolled in a course to satisfy his own ends to trample on his associates i have the misfortune to have one of my superiors in my course
134,fear,"one day , when i realized that i was alone , i felt fear of loneliness"
135,disgust,at the hypocrisy of some of my friends
136,fear,before an exam in logics
137,disgust,"when someone whom i considered my friend , without telling me he was annoyed , proceeded to ignore me for several meets with no apparent reason"
138,disgust,i lived together with my boyfriend one night he stayed away and next day he told me that he had chat up with another girl
139,anger,insulted by other people in the shop
140,fear,"i had to have my tonsils out i had been making up my mind almost for a year i was afraid but during the two hours in the hospital room , while i was waiting to be called for the operation i felt a real fear of the pain , of what they were going to do to me , of the unknown"
141,disgust,i feel disgust with my first boyfriend who made fun of our love in an abominable way
142,fear,tutorial again ! a fearful feeling came to me when i sat on the chair and looked at my fellow students all around i was really scared that they would ask me some questions or challenge the ideas that i had presented
143,joy,"when two female classmates and i were having lunch , we chatted and cracked jokes , i was very happy however , i felt that i may have said something inappropriate which might cause them to have a bad impression of me"
144,fear,i went to the apartment of my boyfriend and saw some people before his door i thought that something had happened
145,disgust,when my friend who was drunk insulted me in public for no reason at all
146,shame,i insulted the girl to whom i had proposed when she turned me down
147,shame,i was to take part in a cocktail party on the occasion of our national holiday as a servant
148,joy,when i got myself the kind of girlfriend i had been hunting for a long time
149,shame,i bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter
150,fear,"when abroad , while driving a car along a dark , winding road"
151,fear,my parents were out and i was the eldest at home at midnight a male stranger phoned us and spoke to me in a rough language i hung up and heard someone walking outside our door
152,anger,korean judges cheating
153,anger,when on a car journey a fellow student crossed our way with his own car and we had to bump into a roadside trunk
154,sadness,when i knew about my sister ' s in law finacial situation and what she was facing
155,fear,no really strong such emotion just falling off to sleep when i caught sight of a 5 cm diameter spider crawling onto the pillow beside me
156,guilt,"once after falling in love , i imagined that particular girl to be perfect and completely overshadowing my girlfriend afterwards i realized that this image was not objective i felt guilty against both girls"
157,guilt,no response
158,fear,a fear of lack of personal powers
159,anger,"i was angry about how the government acted concerning hainburg , especially when i saw a discussion about it on tv"
160,joy,"when i hooked a girl in kitwe she was very beautiful for my standards , a rare bird of this kind accepted me as a boyfriend"
161,guilt,i had an argument with my boyfriend it was my fault but my pride would not let me admit it
162,guilt,i feel guilty when when i realize that i consider material things more important than caring for my relatives i feel very self centered
163,sadness,i was very sad when i had to leave persons with whom i had a very intense relationship i also had to leave the environment which was part of this
164,shame,when i realized that i was pregnant i thought about what my relatives and friends would think about me and i felt a lot of self pity
165,shame,my elder brother and i have not always had a good relationship and i feel ashamed of myself as i do not call him to talk to him nowadays
166,guilt,"the sense of guilt came over me too , when i interrupted my studies why ? because i felt guilty before my parents ! they believed in me though this event did not make them disbelieve me"
167,anger,without the employer ' s knowledge and even without any communication their bank accounts were changed and their personal accounts closed
168,anger,your prejudice against psychology students and education students ( not allowing us to go to the medical university lectures )
169,shame,"when my mother looked in my drawer ( where i keep my personal things ) and she found some porno photos that i have kept from more than a week , and split it"
170,guilt,"borrowing a car , and then having a minor accident ( breaking a headlight )"
171,joy,when i had my children
172,fear,housesitting and hearing the alarm go off i knew someone had to be breaking in i called the police and was panicking while on the phone it was awful it turns out that i stepped on the hidden alarm without prior knowledge of its existance
173,fear,when i was told that the form five results were out
174,joy,"receiving a postcard form my sweetheart who was abroad on vacation , not being at all sure if he would write me or not"
175,shame,no response
176,disgust,saw a scene in a movie implying incest as humorous
177,shame,insulted by somebody
178,guilt,"once i was not able to give a relative , who was in a critical period , a helping hand whenever i think about it i feel guilty for letting down the person who trusted me to give him a helping hand"
179,sadness,when i realized that i was in hospital after a car accident and that i had a scleral tear in my left eye
180,disgust,i was at a friend ' s place for lunch and she fell ill and vomited
181,shame,nearly caught masturbating
182,fear,when i had to go through lonely streets in the middle of the night
183,sadness,when i heard the news of the death of my father it was in the evening and i was alone all night in my room trying to remember the face of my father
184,guilt,that i didn ' t take the time to make an appointment with someone
185,joy,"after watching the 49ers lose game after game , year after year , i was finally rewarded with a super bowl victory which made me extremely happy"
186,joy,when my application for studying the masters degree was accepted
187,disgust,when one learns through the mass media all the wars and killing going on in the world
188,guilt,a friend came to visit me and i was not there
189,fear,"i woke up in the middle of the night of a nightmare , i was alone , it was very quiet and very dark"
190,fear,an inter college basket ball match
191,anger,when i learnt that my younger sister had been expelled from secondary school because she was pregnant that was the second time that this happened in the family the first time it had been my elder sister
192,joy,"during inter rail trip , after troubles , i met my little sister"
193,sadness,a very close friend of mine died i read it in the newspaper i didn ' t know what to do and thought about it the whole day
194,joy,"when i achieved my first 6 at university after a long string of 3 ' s , 4 ' s and 5 ' s ( 7 is the highest mark awarded , 3 is a conceded pass )"
195,fear,when i was in a little fishing boat and we ran into hard weather in the open sea
196,disgust,"i had a friend who was very kind to me i tried my best to like him and understand him but when i was with him i could not help rejecting , criticizing and blaming him i wanted to get away from him as soon as possible"
197,disgust,one of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully
198,sadness,the day my teacher of latin and french died
199,joy,when my son returned from mountaineering healthy in body and soul
200,joy,"when i meet old past pupils of mine and find they are all doing well i feel joy yesterday i met a young woman ( 20 yrs ) i ' d taught her at 6 yrs , then at 12 yrs and hadn ' t seen her for last 3 4 yrs she was no longer a waitress but a meter maid for council"
201,shame,when i had not done well in geography at my mce i was expected to get more than i did
202,shame,it was my father ' s birthday party when i was asked to bring a tray of tea and other drinks
203,guilt,when i could not fulfill my expectations
204,disgust,"i was travelling , we were 15 person , one of them i met at the travel and didn ' t like her one night i was asleep while she and her friends were talking too loud in the kitchen i got up to ask for silence and since that day i felt constant disgust for her"
205,guilt,i failed to complete a working task within the agreed time
206,fear,"my girlfriend and i slept in a lonely hut ( we had drunk alcool ) suddenly some soil fell on us , then some water although we tried hard , we could not find out the cause"
207,shame,i had a misunderstanding with my father and after some time i found that i had been wrong
208,disgust,i was working in a classmate ' s house with a group a girl began to graze her foot against mine under the table
209,sadness,"i broke up with my boyfriend of seven months , but it was a very indepth relationship and so after feelings of grief and loss were over i felt an immense sadness"
210,shame,while intoxicated i invaded someone ' s ( a girl ' s ) personal space to a large extent
211,joy,i can ' t give one description here i often feel joyful when i have done things good in relation to other people especially when my friend says he loves me and i also tell him that i love him
212,sadness,i felt sad when i was told to walk out of the classroom because i was within the row of students who were making noise
213,disgust,"i was disgusted when i was told to dress a big rotten stinky wound which , coming closer , made me feel like vomitting"
214,guilt,"i did not go to the exercises , without any adequate reason"
215,disgust,i felt disgust after watching a picture on television about torturing political prisoners in india ( this happened in the india of indira ghandi )
216,anger,"when my room mate locked me out deliberately , before an exam due at 1400 hours"
217,guilt,"my mother and father had forbidden me to ride my scooter on the road , and i had transgressed ( together with the wild kids from across the street ) by riding my scooter down a steep hill near our house my mother sent the boy next door to collect me , and i was severely scolded"
218,disgust,this happened when i went to visit my friend in chelston and found him screwing my girlfriend
219,shame,i answered a certain question from dr maqgda wrongly she asked something about femur and my answer was saying something concerning the brain so i was very ashamed amongst my friends
220,guilt,when my husband talked about the restrictions he will have to accept in his life to make our marriage work i felt that it was directed at me as it was me who had demanded the changes we were with a marriage counsellor then
221,guilt,a friend asked to borrow my notes and i did not give them away ( my notes too badly written )
222,guilt,"i felt that i contributed to a possible rift in the relationship between a boy and girl soon to be married , in my flat after i moved in after stating my celibacy to him which she overheard and didn ' t previously know about i suspect"
223,guilt,"when i secretly tried smoking for the first time , being 12 years old"
224,guilt,"i allowed my little brother to clean the bathroom in his own way my mother came and saw the floor overflowed with water , slapped my brother in the face and told him to go to bed immediately"
225,disgust,"when walking along the beach with my boyfriend , we saw 2 people having sex on the sand dunes in full view of everyone it was the fact that they chose that area in which to have sex , that disgusted me"
226,fear,someone attacked me with a knife
227,guilt,getting a d in a class last semester and knowing it was because i didn ' t study
228,disgust,when i heard about the disaster in bophal ( india )
229,shame,"my father died after two very painful weeks in bed i felt relieved , and was ashamed of that"
230,anger,when i learned that several people had died in the street due to the cold weather
231,guilt,when my ex boyfriend didn ' t want to sleep with me anymore and i insisted we made love but he felt very badly and i felt guilty
232,sadness,"after studying a lot for my h s c exams , i could not make it to the medical stream and i felt sad about this"
233,guilt,i felt guilty when i was found to be the chief leader of making noise in class
234,anger,i am separated from my husband the way he has behaved towards me makes me angry
235,fear,"earlier , i was afraid of speaking in front of a crowd of people"
236,anger,"i went to the dining hall and found that the cooks were cleaning the plates and there was no food for me , and the blue birds ( security guards ) were busy eating the food that was supposed to be for me"
237,guilt,i told my elder brother that he was irresponsible and that i did not care for what he did because he was teasing me
238,disgust,when a student accused me of having stolen his textbook as he had found a form bearing my name in his other books and all my explanations fell on deaf ears
239,fear,hearing a strange noise in the biology building
240,guilt,"at times i have been attracted to conducts which are socially degraded due to their ill consequences , and then i feel guilty"
241,anger,when a car is overtaking another and i am forced to drive off the road
242,disgust,i felt dusgust with a self iterested person who ruined the life of another by means of utterly unfair methods
243,fear,thinking about death when walking alone at night
244,joy,i had a friend who i didn ' t see for a long time we had a relationship from much union and interaction it was more that one year that i didn ' t see her she appeared in my home and we talked
245,shame,"my mother had just been teaching me how to crochet , which is thought highly improper for a boy in a town just when we finished , a neighbour walked in"
246,disgust,"it was at a comsomol ( ? ? ) meeting , the last one because we were to graduate the way one of my fellow students behaved made me feel disgusted"
247,sadness,"during an informal talk with a friend when we talk about the life of another person , a common friend , that is in a situation of not being able to assume certain problems that he decided to solve , that is , she herself suggested the problems and decided to solve them but didn ' t get it until the moment"
248,shame,"i met a friend in a discotheque he was with a girl and he told me that she was not his girlfriend i , to say something , commented that she must be a viscious woman he then told me that she was his girl"
249,shame,when i told a lie to a friend of my sister on april fool ' s day she later came to see me and told me that it was a very foolish thing to do
250,disgust,i was disgusted when my brother was arrested because of stealing money
251,disgust,i felt disgusted while studying for my applied psychology and mental testing papers in b a
252,fear,finding out the great difference between china and the west in science
253,anger,"a ex boyfriend tried to prejudice me before my fianct and his family saying things about me that let his family worried we had to postpone our wedding and we were already using our wedding rings to be honest i didn ' t feel just anger , i felt hate"
254,sadness,at a prolonged separation with my family
255,joy,joining in a research group studying consumer ' s behaviour and helping the people in the shop with the sales
256,disgust,"when i was touring asia with my present football team , i saw old europeans with young asiatic prostitutes"
257,anger,"during the xmas holiday , i and my best friend at secondary school had planned to meet at a cultural afternoon at the mt soche hotel after missing each other for such a long time when i asked my mother for permission , she told me not to go for no good reason i felt very angry with her"
258,fear,i felt fear when i was young and left in my big house all alone
259,sadness,i had failed some subjects in mathematics
260,anger,my elder brother often criticizes my mother ' s cooking once he did it very impolitely and lost his temper this made all of us very sad i was very angry and i scolded him he asked me not to interfere with what was his buisness
261,sadness,death of a relative
262,guilt,i felt guilty when i lost k43 for my friend when he was arrested
263,joy,doing unexpectedly well in an examn
264,shame,"while working as a domestic helper , one day i had not cleaned up very well and they made a remark about it"
265,sadness,no response
266,shame,"in an examination , which other students found easy i could hardly think and did not know what to answer"
267,disgust,i read a book whose plot and expressions were obscene and in very bad taste
268,sadness,"a close friend travelled to another country when i knew that he would only come back after many years , i felt very sad"
269,shame,"when i was 6 or 7 years old , i pulled down the trousers of a friend because i wanted to know what she looked like my mother watched that and ( as a punishment ) sent me into the house we never spoke about that i think it was as embarassing for her as it was for me"
270,anger,a drummer who had borrowed my drums destroyed both the drumskin and the sticks he did not repair them nor did he tell me about it
271,joy,found out that me and my best friend are both chosen for the english lectures
272,shame,i feel this feeling at one and the same degree when i am not prepared to overcome certain obstacle in my life
273,sadness,when my flute teacher was replaced by a new one
274,shame,cannot recall the emotion with any force
275,shame,felt ashamed when in a group conversation and could not understand words or comprehend the topic of discussion
276,sadness,i felt very sad when i saw the first list from the names of the people who entered at the university and my name wasn ' t there
277,guilt,i had undertaken to help my sister for her class work but some unexpected circumstances prevented me from doing that
278,sadness,"i arranged with a friend to go skating the next day he asked me to wake him up by telephone at twelve o ' clock because we had come home late in the morning next day i called him he was not at home as something like that had happened to me several times before , i came to the conclusion that one cannot rely on anybody and i felt very sad"
279,joy,my sister and brother in law returned from sri lanka where they adopted a child i went to pick them up at the airport
280,sadness,recent break up with my girlfriend we had been together for over a year i was overseas and discovered over the phone ( while i was at work )
281,anger,once again my parents distroyed a relationship
282,guilt,not handing in homework in time
283,disgust,someone stole a k10 note and the teacher thought that it was me when i was not responsible for the theft
284,anger,when my aunt told me angrily that i was a good for nothing and she was fed up with my behaviour
285,sadness,when i came to know that a girl i was fond of already had a boyfriend
286,joy,when i won the first prize in a cross country race
287,joy,i was in grade 7 we had an inter house volley ball competition in luapula i was the youngest member of the team and i scored the winning goal using my head i jumped up with joy and fell down
288,disgust,i was playing a sport in an advanced pe class and many of the people were not advanced
289,joy,"i was joyful when i received a present ( 2 books and a pencil ) from the headmaster in standard 6 because i had passed , i became no 1 and he said i was one of the pupils who had good behaviour"
290,anger,"when they threw my holder down on the floor , with all my notes for an exam inside it and they got all mixed up"
291,joy,i felt glad to live again when i went to a meeting about the knowledge there are 4 techniques of meditation that connect you with the essence of the human being
292,joy,my joy was the joy of meeting again my husband came home after having been away for weeks ( for work ) i was on the railway station to meet him
293,disgust,"my parents attitude towards each other when they should become reconciled , despite my father ' s long time addiction"
294,guilt,some days ago i had a slight car accident through my fault
295,guilt,when i complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that i liked her
296,sadness,the end of a relationship ( after 4 years ) by doing this i hurt the other person very much
297,sadness,"when a close relative of mine passed away , it was the first time that someone so close to me had died"
298,shame,cannot remember such a situation
299,shame,when i do something unworthy
300,shame,when my co resident opened the bathroom door while i was bathing inside
301,disgust,"when i was watching a movie with many violent episodes they accurately showed the cutting of corpses , etc"
302,fear,i got a very nasty electrical shock when i was tampering with some electrical applainces
303,sadness,"sadness , no , i felt something much stronger when my father died"
304,guilt,"i came home from a discotheque at half past four in the morning , although i had promised my parents to come home at midnight from 3 a m i felt guilty towards my parents"
305,disgust,in may somebody blamed me that i made him to be caught while peeping during the nursing test which made me feel disgusted
306,shame,when i got drunk at a party and made a fool of myself by vomitting all over the place and insulting the people who were there with me
307,joy,having a good trip on a boat with good friends
308,anger,an unjust calumny concerning me
309,joy,"on my birthday , when a very close friend sent me a huge bouquet of flowers"
310,joy,when i was accepted for my third year ( g 10 ) at my former secondary school
311,sadness,when i was transferred from chichiri secondary school to st mary ' s sec school i was happy at chichiri as a day scholer and had made a lot of friends i was going to a boarding and that meant parting with my friends as well as my boyfriend for the first time
312,joy,when i received the acceptance letter from unza i had just come home from work when my kind sister handed me an enveloppe which i opened and was overcome with joy
313,sadness,when i heard that a good friend had committed suicide
314,shame,at a cross country race i wanted to take a short cut ( which is not allowed ) i was caught and disqualified all my friends had observed that
315,sadness,death of grandmother
316,fear,i was afraid to walk through the forest one day when i dropped off the bus around 6 30 pm
317,disgust,they asked me to throw the rubbish into a dustbin which had some awful liquid accumulated at the bottom
318,anger,"while at school i had to write an essay for doing something wrong that i didn ' t do i wrote the essay about how i was mistreated and got saturday morning detention along with a few other kids , but they didn ' t show up"
319,sadness,this morning during my sleep i had a feeling that someboby was attacking me i started crying in my sleep and then my room mate woke me up
320,anger,"my father accused my brother of having bumped his car , and it was wrong"
321,fear,finding out about people can go mad for social reasons
322,guilt,i made my boyfriend so unhappy and depressed that i feel guilty
323,joy,when i received my te score and my acceptance from university it had been a goal since i left the bank a year earlier
324,guilt,i had thrown with the ashtray a still lighted cigarette in the plastic wastepaper basket it had burnt out and my landlords made me a row that i might had set their flat on fire
325,anger,i had planned to study for my mid term exams on a certain day and my room mate called me to ask me to go out for a stroll i tried to make an excuse so as not to go out but she refused to listen to me and insisted that i go out with her i find it unnecessary to talk to her anymore
326,shame,"when my natural parents name would show up on papers and not my , what i call real name"
327,joy,winning queensland chess championship
328,shame,i saw a terrible accident happen and i laughed a lot of the fright and because i was nervous
329,disgust,saw an arrogant girl walking pass by
330,fear,"when i was a child , one day , i was going home late at night and i did not notice an uncovered man hole and fell in it i was in there for several minutes"
331,joy,"unofficially i was informed about my results of the final examination of the secondary school a teacher wrote them up for me when i went outside , i started crying with joy"
332,disgust,"at my grandmother ' s detestable and selfish conduct towards my elder sister , although her behavior was due to senility and lack of understanding"
333,shame,i was really shameful when my mother beat me in the presence of my friends because i didn ' t cook lunch up until 2 o ' clock
334,disgust,"the behaviour of a colleague of mine , which doesn ' t correspond to my norms of behaviour"
335,joy,going to chico to visit a friend
336,guilt,thinking about other things in a lecture
337,joy,on holidays just driving along a road beautiful scenery just with my boyfriend not really talking but just feeling overwhelmed
338,anger,"i sometimes quarrel with my mother because she blames me , though i have not in any way been connected to some events"
339,joy,yesterday when i received a b on a history midterm i felt overjoyed after having received c ' s previously
340,disgust,"i met three drunk boys , almost children , they didn ' t look like normal people"
341,guilt,i beat up a female friend after i heard the defamatory stories that she had been telling i was later called to explain my behaviour
342,shame,when i was caught stealing money from my father
343,disgust,when i found out the cia was mining nicaraguan harbors
344,shame,"when i lied to my girlfriend , telling her that i had passed an exam , when i actually did not even take it"
345,sadness,when i think about the short time that we live and relate it to the periods of my life when i think that i did not use this short time
346,joy,"at a party , on new year ' s eve , i met on old friend whom i had not seen for some time"
347,joy,when i received some good news i obtained an amount of money i needed to buy something i had been planning to buy
348,disgust,a drunk walked out in front of a car at night both lower legs were broken his shoe was thrown about 50 yards after the accident
349,shame,a mishap suffered on misinterpreting a girl ' s proposition
350,guilt,many years ago a friend wanted me to with her to southern europe and i preferred to travel alone i felt guilty because i wanted to go on my own
351,anger,some people were sitting outside and saying things which were not really true
352,fear,"i was hunting , and was lost in the fog in the mountains"
353,joy,when i understood i was admitted to the sofia university
